Barrio;Deporte;Comprar;Restaurantes;Fiesta;Museos;Naturaleza;Cursos;Pasear;Tranquilo;Familiar;Seguro;Concurrido;Limpio;Trendy;Multicultural;Barato;Verde;Adinerado;Clásico;Coche;Metro;Bus;Bicicleta;Soltero;Estudiante;Pareja;Familia;Jubilado
   011. Palacio;0;4;5;3;5;0.21;0.77;5;4.31;0.26;4.31;1.75;1.26;5;2.19;-2.39;0.02;1.26;5;2.83;4.17;5;3.39;0.21;5;0.21;0;1.07
   012. Embajadores;0;3;5;3;5;0.21;0.77;5;4.31;0.26;4.31;5;0.59;5;3.3;-2.04;0.02;0.59;5;2.83;4.17;5;3.13;0.21;5;0.21;0;1.07
   013. Cortes;0;3;5;3;5;0.21;0.77;5;4.31;0.26;4.31;1.99;1.4;5;3.13;-2.63;0.02;1.4;5;2.83;4.17;5;0.71;0.21;5;0.21;0;1.07
   014. Justicia;0;5;5;3;5;0.21;0.77;5;4.31;0.26;4.31;2.69;1.91;5;2.76;-3.16;0.02;1.91;5;2.83;4.17;5;5;0.21;5;0.21;0;1.07
   015. Universidad;0;5;5;5;5;0.21;0.77;5;4.31;0.26;4.31;3.86;1.01;5;2.82;-2.7;0.02;1.01;5;2.83;4.17;5;2.77;0.21;5;0.21;0;1.07
   016. Sol;0;5;5;5;5;0.21;0.77;5;4.31;0.26;4.31;1.96;0.99;5;3.77;-2.43;0.02;0.99;5;2.83;4.17;5;1.07;0.21;5;0.21;0;1.07
   021. Imperial;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;2.55;1.82;4;0.56;-2.14;0.51;1.82;0.27;1.46;1.67;5;1.52;0.8;1.31;0.8;1.99;2.44
   022. Acacias;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;3.71;1.88;4;0.52;-1.94;0.51;1.88;0.27;1.46;1.67;5;0.54;0.8;1.31;0.8;1.99;2.44
   023. Chopera;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;3.87;0.98;4;1.74;-1.69;0.51;0.98;0.27;1.46;1.67;5;0.18;0.8;1.31;0.8;1.99;2.44
   024. Legazpi;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;3.78;1.51;2.22;4;0.55;-2.27;0.51;2.22;0.27;1.46;1.67;5;0.8;0.8;1.31;0.8;1.99;2.44
