Barrio;Renta;Precio;Edad;0-15;16-64;65-80;80-100
San Fermín;27478.42;1874;42.35;14.87357322;68.65514482;16.47128196;6.381007202
Almendrales;27823.39;1992;42.35;14.87357322;68.65514482;16.47128196;6.381007202
Moscardó;28148.59;2311;42.35;14.87357322;68.65514482;16.47128196;6.381007202
Zofio;27571.86;1964;42.35;14.87357322;68.65514482;16.47128196;6.381007202
Pradolongo;24711.28;1940;42.35;14.87357322;68.65514482;16.47128196;6.381007202
Entrevías;24123.88;1504;43.23;13.56245582;68.99191406;17.44563012;6.614322107
San Diego;23112.06;1942;43.23;13.56245582;68.99191406;17.44563012;6.614322107
Palomeras Bajas;30752.48;1933;43.23;13.56245582;68.99191406;17.44563012;6.614322107
Palomeras Sureste;28901.72;1922;43.23;13.56245582;68.99191406;17.44563012;6.614322107
Portazgo;25564.47;1932;43.23;13.56245582;68.99191406;17.44563012;6.614322107
Numancia;26666.04;2105;43.23;13.56245582;68.99191406;17.44563012;6.614322107
Pavones;35783.76;2531;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Horcajo;47612.44;2531;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Marroquina;42558.6;2903;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Media Legua;37694.34;2625;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Fontarrón;29819.76;2303;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Vinateros;30745.19;2515;47.9;11.40816544;62.53810894;26.05372562;10.50207867
Ventas;30442.35;2559;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Pueblo Nuevo;32027.75;2537;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Quintana;32082.06;2913;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Concepción;37233.32;3257;45.98;12.26973775;65.02181553;22.70844672;8.651034508
San Pascual;44222.13;3419;45.98;12.26973775;65.02181553;22.70844672;8.651034508
San Juan Bautista;61278.01;4346;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Colina;56252.58;4792;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Atalaya;69982;2968;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Costillares;70458.55;4228;45.98;12.26973775;65.02181553;22.70844672;8.651034508
Palomas;85614.14;4193;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Piovera;85549.1;4624;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Canillas;42659.21;3305;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Pinar del Rey;35784.21;2904;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Apóstol Santiago;38899.83;2995;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Valdefuentes;58384.05;4204;42.54;17.57612768;63.85720496;18.56666736;5.778665618
Villaverde;26701.12;1690;42.09;15.99077567;67.37054933;16.638675;6.334297969
San Cristóbal;21070.67;1391;42.09;15.99077567;67.37054933;16.638675;6.334297969
Butarque;31436.88;2208;42.09;15.99077567;67.37054933;16.638675;6.334297969
Los Rosales;30320.21;1785;42.09;15.99077567;67.37054933;16.638675;6.334297969
Los Ángeles;29951.56;1864;42.09;15.99077567;67.37054933;16.638675;6.334297969
Casco Histórico de Vallecas;26309.2;1927;39.3;18.90563308;68.43366773;12.66069919;3.558697149
Santa Eugenia;38641.29;2301;39.3;18.90563308;68.43366773;12.66069919;3.558697149
Ensanche de Vallecas;35064.55;2913;39.3;18.90563308;68.43366773;12.66069919;3.558697149
Casco Histórico de Vicálvaro;25968.31;2073;41.19;17.39418428;68.52487249;14.08094323;5.072530966
Valdebernardo;41477.94;3000;41.19;17.39418428;68.52487249;14.08094323;5.072530966
Valderrivas;42775.47;2413;41.19;17.39418428;68.52487249;14.08094323;5.072530966
El Cañaveral;34452;2878;41.19;17.39418428;68.52487249;14.08094323;5.072530966
Simancas;33592.67;2620;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Hellín;25719.86;2007;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Amposta;23562.05;1851;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Arcos;31150.39;2064;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Rosas;46723.16;3332;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Rejas;40746.13;3128;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Canillejas;33554.49;2355;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Salvador;57319.68;3462;43.4;14.48352032;68.18005965;17.33642002;6.633678194
Alameda de Osuna;55681.35;3542;42.21;17.66279929;64.45074585;17.88645486;4.696766979
Aeropuerto;27316;3360;42.21;17.66279929;64.45074585;17.88645486;4.696766979
Casco Histórico de Barajas;31625.65;2973;42.21;17.66279929;64.45074585;17.88645486;4.696766979
Timón;42831.02;3013;42.21;17.66279929;64.45074585;17.88645486;4.696766979
Corralejos;70874.2;3688;42.21;17.66279929;64.45074585;17.88645486;4.696766979
