Número;Distrito;Barrio;Superficie (km²);Densidad (Hab/Ha);Precio (€/m2);Esperanza de Vida (Años);Renta media (€)
46;Salamanca;Castellana;0,773;221,65;7118;84,1;83082
41;Salamanca;Recoletos;0,87;179,00;8441;84,1;82755
42;Salamanca;Goya;0,771;382,70;5875;83,8;47232
45;Salamanca;Lista;0,52;401,07;5713;84,7;46933
43;Salamanca;Fuente del Berro;0,852;245,88;4474;83,9;39343
44;Salamanca;La Guindalera;1,598;261,66;4369;82,98;32654
208;San Blas-Canillejas;Salvador;1,881;60,44;3074;84,5;53791
205;San Blas-Canillejas;Rosas;9,388;33,92;3121;83,8;41993
206;San Blas-Canillejas;Rejas;5,007;34,09;3022;85,2;36011
207;San Blas-Canillejas;Canillejas;1,598;181,04;2360;83,1;30764
201;San Blas-Canillejas;Simancas;2,278;124,99;2600;83,1;29645
204;San Blas-Canillejas;Arcos;1,305;188,80;2130;81,5;26735
202;San Blas-Canillejas;Hellín;0,549;169,99;1925;81,5;22633
203;San Blas-Canillejas;Amposta;0,37;239,97;2073;78,4;20885
63;Tetuán;Castillejos;0,708;291,49;4252;84,4;44890
62;Tetuán;Cuatro Caminos;1,193;293,81;4362;83,5;40897
61;Tetuán;Bellas Vistas;0,716;412,00;3365;83,1;29189
64;Tetuán;Almenara;0,999;227,52;3419;82,6;27382
66;Tetuán;Berruguete;0,607;422,74;3263;82,8;26857
65;Tetuán;Valdeacederas;1,163;228,85;3099;83;26531
121;Usera;Orcasitas;1,356;170,27;1809;81,3;25886
125;Usera;Moscardó;0,908;292,95;2209;82,2;24962
126;Usera;Zofío;0,775;185,21;1889;84,3;24303
123;Usera;San Fermín;1,463;161,57;2041;82,1;24196
124;Usera;Almendrales;0,772;288,61;2180;83,4;24167
122;Usera;Orcasur;1,384;101,93;1728;80,6;23155
127;Usera;Pradolongo;1,095;163,42;2097;82,7;21750
191;Vicálvaro;Casco Histórico de Vicálvaro;32,924;10,71;2145;82,9;33101
192;Vicálvaro;Valdebernardo;2,354;52,03;2895;82,98;32427
193;Vicálvaro;Valderrivas;4,25;188,54;2764;82,98;31452
194;Vicálvaro;El Cañaveral;5,38;3,10;2420;82,98;28548
182;Villa de Vallecas;Santa Eugenia;2,07;116,76;2285;82,3;35176
181;Villa de Vallecas;Casco Histórico de Vallecas;49,359;9,35;2018;82,8;26951
183;Villa de Vallecas;Ensanche de Vallecas;7,35;79,17;1949;82,98;21976
173;Villaverde;Butarque;6,425;32,50;2143;82;28093
175;Villaverde;Los Ángeles;1,944;168,83;1504;83,2;27746
174;Villaverde;Los Rosales;1,511;245,27;1869;83,3;27223
171;Villaverde;Villaverde Alto;9,192;50,40;1702;82,98;20648
172;Villaverde;San Cristóbal;1,106;156,92;1467;81,3;17786
