Barrio;Deporte;Comprar;Restaurantes;Fiesta;Museos;Naturaleza;Cursos;Pasear;Tranquilo;Familiar;Seguro;Concurrido;Limpio;Trendy;Multicultural;Barato;Verde;Adinerado;Clásico;Coche;Metro;Bus;Bicicleta;Soltero;Estudiante;Pareja;Familia;Jubilado
 Palacio;0;4;5;3;5;0.21;0.77;5;4.31;0.26;76.5;1.75;1.26;5;2.19;-2.39;0.02;1.26;5;2.83;4.17;5;3.39;0.43;5;0.21;0;1.07
 Embajadores;0;3;5;3;5;0.21;0.77;5;4.31;0.26;76.5;5;0.59;5;3.3;-2.04;0.02;0.59;5;2.83;4.17;5;3.13;0.43;5;0.21;0;1.07
 Cortes;0;3;5;3;5;0.21;0.77;5;4.31;0.26;76.5;1.99;1.4;5;3.13;-2.63;0.02;1.4;5;2.83;4.17;5;0.71;0.43;5;0.21;0;1.07
 Justicia;0;5;5;3;5;0.21;0.77;5;4.31;0.26;76.5;2.69;1.91;5;2.76;-3.16;0.02;1.91;5;2.83;4.17;5;5;0.43;5;0.21;0;1.07
 Universidad;0;5;5;5;5;0.21;0.77;5;4.31;0.26;76.5;3.86;1.01;5;2.82;-2.7;0.02;1.01;5;2.83;4.17;5;2.77;0.43;5;0.21;0;1.07
 Sol;0;5;5;5;5;0.21;0.77;5;4.31;0.26;76.5;1.96;0.99;5;3.77;-2.43;0.02;0.99;5;2.83;4.17;5;1.07;0.43;5;0.21;0;1.07
 Imperial;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;2.55;1.82;4;0.56;-2.14;0.51;1.82;0.27;1.46;1.67;5;1.52;1.6;1.31;0.8;1.99;2.44
 Acacias;1.38;4;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;3.71;1.88;4;0.52;-1.94;0.51;1.88;0.27;1.46;1.67;5;0.54;1.6;1.31;0.8;1.99;2.44
 Chopera;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;3.87;0.98;4;1.74;-1.69;0.51;0.98;0.27;1.46;1.67;5;0.18;1.6;1.31;0.8;1.99;2.44
 Legazpi;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;1.51;2.22;4;0.55;-2.27;0.51;2.22;0.27;1.46;1.67;5;0.8;1.6;1.31;0.8;1.99;2.44
 Delicias;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;2.94;1.55;4;1.28;-1.84;0.51;1.55;0.27;1.46;1.67;5;0.98;1.6;1.31;0.8;1.99;2.44
 Palos de Moguer;1.38;3;4;3;0.44;0.97;2.1;5;3.78;1.41;67.1;4.35;1.15;4;1.74;-1.83;0.51;1.15;0.27;1.46;1.67;5;0.8;1.6;1.31;0.8;1.99;2.44
 Atocha;1.38;4;4;4;0.44;0.97;2.1;5;3.78;1.41;67.1;0.21;1.52;4;0.43;-1.63;0.51;1.52;0.27;1.46;1.67;5;0.27;1.6;1.31;0.8;1.99;2.44
 Pacífico;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;65;4.77;1.68;4;0.94;-2.02;0.34;1.68;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Adelfas;1.1;4;5;4;2.2;1.4;2.1;5;4.14;0.83;65;3.18;2.01;4;0.52;-1.94;0.34;2.01;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Estrella;1.1;4;5;5;2.2;1.4;2.1;5;4.14;0.83;65;2.46;2.99;4;0.14;-2.06;0.34;2.99;3.04;2.94;0.83;5;1.34;0.25;3.46;0.13;2.05;4.6
 Ibiza;1.1;5;5;5;2.2;1.4;2.1;5;4.14;0.83;65;4.79;2.05;4;1.26;-2.86;0.34;2.05;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Jerónimos;1.1;3;5;3;2.2;1.4;2.1;5;4.14;0.83;65;0.4;3.66;4;1.33;-4.05;0.34;3.66;3.04;2.94;0.83;5;1.25;0.25;3.46;0.13;2.05;4.6
 Niño Jesús;1.1;4;5;3;2.2;1.4;2.1;5;4.14;0.83;65;2.6;3.52;4;0.35;-2.57;0.34;3.52;3.04;2.94;0.83;5;0.27;0.25;3.46;0.13;2.05;4.6
 Recoletos;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;69.8;1.96;4.28;4;2.24;-5;0.06;4.28;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Goya;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;4.19;2.36;4;1.79;-3.18;0.06;2.36;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Fuente del Berro;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;2.69;1.63;4;1.4;-2.26;0.06;1.63;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Guindalera;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;2.86;2.05;4;1.15;-2.01;0.06;2.05;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Lista;0.09;5;5;4;1.49;0.23;1.18;5;4.23;1.05;69.8;4.39;2.36;4;1.68;-3.26;0.06;2.36;0.74;5;2.92;5;0.27;0.25;0.88;0.13;1.56;3.97
 Castellana;0.09;5;5;5;1.49;0.23;1.18;5;4.23;1.05;69.8;2.42;4.26;4;2.1;-3.98;0.06;4.26;0.74;5;2.92;5;0.71;0.25;0.88;0.13;1.56;3.97
 El Viso;0.26;1;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;1.11;4.18;3;1.19;-3.67;0.02;4.18;0.68;2.53;2.92;5;0.71;1.38;2.26;0.69;2.7;3.8
 Prosperidad;0.26;2;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;3.82;1.82;3;1.09;-2.15;0.02;1.82;0.68;2.53;2.92;5;0.71;1.38;2.26;0.69;2.7;3.8
 Ciudad Jardín;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;2.67;1.97;3;1.35;-2.32;0.02;1.97;0.68;2.53;2.92;5;1.25;1.38;2.26;0.69;2.7;3.8
 Hispanoamérica;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;2.02;3.41;3;0.68;-2.89;0.02;3.41;0.68;2.53;2.92;5;1.07;1.38;2.26;0.69;2.7;3.8
 Nueva España;0.26;3;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;1.51;4.02;3;0.89;-3.22;0.02;4.02;0.68;2.53;2.92;5;1.25;1.38;2.26;0.69;2.7;3.8
 Castilla;0.26;4;4;4;0.57;0.08;2.42;5;4.14;1.58;74.9;0.86;2.84;3;0.94;-2.12;0.02;2.84;0.68;2.53;2.92;5;0.54;1.38;2.26;0.69;2.7;3.8
 Bellas Vistas;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;4.51;0.88;3;3.13;-1.42;0.04;0.88;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Cuatro Caminos;0.32;4;3;4;0.13;0.32;1.17;5;3.34;1.34;70.3;3.21;1.78;3;1.84;-2.19;0.04;1.78;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Castillejos;0.32;4;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;3.19;1.94;3;1.82;-2.18;0.04;1.94;0.14;1.99;0.83;5;0.71;1.57;2.32;0.79;1.73;2.36
 Almenara;0.32;3;3;3;0.13;0.32;1.17;5;3.34;1.34;70.3;2.49;0.74;3;2.01;-1.39;0.04;0.74;0.14;1.99;0.83;5;0.8;1.57;2.32;0.79;1.73;2.36
 Valdeacederas;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;70.3;2.5;0.64;3;2.97;-1.38;0.04;0.64;0.14;1.99;0.83;5;1.07;1.57;2.32;0.79;1.73;2.36
 Berruguete;0.32;3;3;2;0.13;0.32;1.17;5;3.34;1.34;70.3;4.63;0.73;3;3.23;-1.35;0.04;0.73;0.14;1.99;0.83;5;0.36;1.57;2.32;0.79;1.73;2.36
 Gaztambide;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.96;1.8;5;1.28;-2.3;0;1.8;0.34;2.74;1.25;5;0.36;0.02;0;0.01;1.38;4.07
 Arapiles;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.59;1.82;5;1.28;-2.66;0;1.82;0.34;2.74;1.25;5;0.36;0.02;0;0.01;1.38;4.07
 Trafalgar;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;4.4;1.77;5;1.64;-2.89;0;1.77;0.34;2.74;1.25;5;1.07;0.02;0;0.01;1.38;4.07
 Almagro;0;5;5;5;0.51;0;1.17;5;4.36;0.84;67.7;2.28;3.37;5;1.6;-3.64;0;3.37;0.34;2.74;1.25;5;0.89;0.02;0;0.01;1.38;4.07
